"Heizung Lüftung Klima","0/-/-","","","","","Auto"
"OG Masterbad Heizen Stellgrösse","0/2/94","","","","DPST-5-1","Auto"
"OG Masterbad HVAC Modus","0/2/95","","","","DPST-20-102","Auto"
"OG Masterbad Frost/Heizen Sicherheits Modus","0/2/96","","","","DPST-1-2","Auto"
"OG Masterbad Komfort Modus","0/2/97","","","","DPST-1-2","Auto"
"OG Masterbad Standby Modus","0/2/98","","","","DPST-1-2","Auto"
"OG Masterbad Nacht Modus","0/2/99","","","","DPST-1-2","Auto"
"OG Masterbad Ausschalt Steuerung","0/2/100","","","","DPST-1-1","Auto"
"OG Masterbad RHCC Status Rückmeldung","0/2/101","","","","DPST-22-101","Auto"
"OG Masterbad Vorhang Sollwert Rückmeldung","0/2/102","","","","DPST-9-1","Auto"
"OG Masterbad Sollwert Einstellung Rückmeldung","0/2/103","","","","DPST-9-1","Auto"
"OG Masterbad HVAC Status Rückmeldung","0/2/104","","","","DPST-5-1","Auto"
"OG Masterbad Frost/Heizen Sicherheits Rückmeldung","0/2/105","","","","DPST-1-2","Auto"
"OG Masterbad Komfort Modus Rückmeldung","0/2/106","","","","DPST-1-2","Auto"
"OG Masterbad Standby Modus Rückmeldung","0/2/107","","","","DPST-1-2","Auto"
"OG Masterbad Nacht Modus Rückmeldung","0/2/108","","","","DPST-1-2","Auto"
"--- OG Kinderbad ---","0/2/110","","","","","Auto"
"OG Kinderbad Sollwerte (Basis-Sollwert)","0/2/111","","","","DPST-9-1","Auto"
"OG Kinderbad Sollwert Einstellung (Soll-Temperatur)","0/2/112","","","","DPST-1-8","Auto"
"OG Kinderbad Ventilstellgrösse RM","0/2/113","","","","DPST-5-1","Auto"
"OG Kinderbad Heizen Stellgrösse","0/2/114","","","","DPST-5-1","Auto"
"OG Kinderbad HVAC Modus","0/2/115","","","","DPST-20-102","Auto"
"OG Kinderbad Frost/Heizen Sicherheits Modus","0/2/116","","","","DPST-1-2","Auto"
"OG Kinderbad Komfort Modus","0/2/117","","","","DPST-1-2","Auto"
"OG Kinderbad Standby Modus","0/2/118","","","","DPST-1-2","Auto"
"OG Kinderbad Nacht Modus","0/2/119","","","","DPST-1-2","Auto"
"OG Kinderbad Ausschalt Steuerung","0/2/120","","","","DPST-1-1","Auto"
"OG Kinderbad RHCC Status Rückmeldung","0/2/121","","","","DPST-22-101","Auto"
"OG Kinderbad Vorhang Sollwert Rückmeldung","0/2/122","","","","DPST-9-1","Auto"
"OG Kinderbad Sollwert Einstellung Rückmeldung","0/2/123","","","","DPST-9-1","Auto"
"OG Kinderbad HVAC Status Rückmeldung","0/2/124","","","","","Auto"
"OG Kinderbad Frost/Heizen Sicherheits Rückmeldung","0/2/125","","","","DPST-1-2","Auto"
"OG Kinderbad Komfort Modus Rückmeldung","0/2/126","","","","DPST-1-2","Auto"
"OG Kinderbad Standby Modus Rückmeldung","0/2/127","","","","DPST-1-2","Auto"
"OG Kinderbad Nacht Modus Rückmeldung","0/2/128","","","","DPST-1-2","Auto"
"--- OG Ankleide ---","0/2/130","","","","","Auto"
"OG Ankleide Sollwerte (Basis-Sollwert)","0/2/131","","","","DPST-9-1","Auto"
"OG Ankleide Sollwert Einstellung (Soll-Temperatur)","0/2/132","","","","DPST-1-8","Auto"
"OG Ankleide Ventilstellgrösse RM","0/2/133","","","","DPST-5-1","Auto"
"OG Ankleide Heizen Stellgrösse","0/2/134","","","","DPST-5-1","Auto"
"OG Ankleide HVAC Modus","0/2/135","","","","DPST-20-102","Auto"
"OG Ankleide Frost/Heizen Sicherheits Modus","0/2/136","","","","DPST-1-2","Auto"
"OG Ankleide Komfort Modus","0/2/137","","","","DPST-1-2","Auto"
"OG Ankleide Standby Modus","0/2/138","","","","DPST-1-2","Auto"
"OG Ankleide Nacht Modus","0/2/139","","","","DPST-1-2","Auto"
"OG Ankleide Ausschalt Steuerung","0/2/140","","","","DPST-1-1","Auto"
"OG Ankleide RHCC Status Rückmeldung","0/2/141","","","","DPST-22-101","Auto"
"OG Ankleide Vorhang Sollwert Rückmeldung","0/2/142","","","","DPST-9-1","Auto"
"OG Ankleide Sollwert Einstellung Rückmeldung","0/2/143","","","","DPST-9-1","Auto"
"OG Ankleide HVAC Status Rückmeldung","0/2/144","","","","","Auto"
"OG Ankleide Frost/Heizen Sicherheits Rückmeldung","0/2/145","","","","DPST-1-2","Auto"
"OG Ankleide Komfort Modus Rückmeldung","0/2/146","","","","DPST-1-2","Auto"
"OG Ankleide Standby Modus Rückmeldung","0/2/147","","","","DPST-1-2","Auto"
"OG Ankleide Nacht Modus Rückmeldung","0/2/148","","","","DPST-1-2","Auto"
"Waterkotte","0/3/-","","","","","Auto"
"nvoTSourceIn Quelleneintrittstemperatur","0/3/0","","","","","Auto"
"nvoTOutdoor Außentemperatur","0/3/1","","","","DPST-9-1","Auto"
"nvoTOutdoor1h Außentemperatur 1h Mittelwert","0/3/2","","","","DPST-9-1","Auto"
"nvoTOutdoor24h Außentemperatur 24h Mittelwert","0/3/3","","","","DPST-9-1","Auto"
"nvoTSourceIn Quelleneintrittstemperatur","0/3/4","","","","DPST-9-1","Auto"
"nvoTSourceOut Quellenaustrittstemperatur","0/3/5","","","","DPST-9-1","Auto"
"nvoTEvaporation Verdampfungstemperatur","0/3/6","","","","DPST-9-1","Auto"
"nvoTSuctionGas Sauggastemperatur","0/3/7","","","","DPST-9-1","Auto"
"nvopEvaporation Verdampfungsdruck","0/3/8","","","","DPST-9-6","Auto"
"nvoTSetpoint Temperatur Soll","0/3/10","","","","DPST-9-1","Auto"
"nvoTReturn Ru¨cklauftemperatur","0/3/11","","","","DPST-9-1","Auto"
"nvoTFlow Vorlauftemperatur","0/3/12","","","","DPST-9-1","Auto"
"nvoTCondensation Kondensationstemperatur","0/3/14","","","","DPST-9-1","Auto"
"nvopCondensation Kondensationsdruck","0/3/15","","","","DPST-9-6","Auto"
"nvoTStorage Speichertemperatur","0/3/16","","","","DPST-9-1","Auto"
"nvoTRoom Raumtemperatur","0/3/17","","","","DPST-9-1","Auto"
"nvoTRoom1h Raumtemperatur 1h Mittelwert","0/3/18","","","","DPST-9-1","Auto"
"nvoTHWater Warmwassertemperatur","0/3/19","","","","DPST-9-1","Auto"
"nvoTPool Pool-Temperatur","0/3/20","","","","DPST-9-1","Auto"
"nvoTSolar Solarkollektortemperatur","0/3/21","","","","DPST-9-1","Auto"
"nvoTSolarFlow Solarkreis Vorlauftemperatur","0/3/22","","","","DPST-9-1","Auto"
"nvoEEVPos Ventilöffnung elektronisches Expansionsventil","0/3/23","","","","DPST-8-10","Auto"
"nvoElecPower Aktuelle elektrische Antriebsleistung fu¨r den Verdichter in kW.","0/3/25","","","","DPST-9-24","Auto"
"nvoThermalPower Aktuelle abgegebene thermische Leistungsabgabe der Wärmepumpe in kW.","0/3/26","","","","DPST-9-24","Auto"
"nvoRefrigPower Aktuelle abgegebene thermische Kälteleistung der Wärmepumpe in kW.","0/3/27","","","","DPST-9-24","Auto"
"nvoCOP Wirkungsgrad bzw. Leistungszahl der Wärmepumpe","0/3/28","","","","DPST-8-1","Auto"
"nvoCOPRefrig Wirkungsgrad bzw. Leistungszahl der Kälteleistung","0/3/29","","","","DPST-8-1","Auto"
"nvoTHeating Aktuelle Heizkreistemperatur","0/3/30","","","","DPST-9-1","Auto"
"nvoTHeatingSP geforderte Temperatur im Heizbetrieb","0/3/31","","","","DPST-9-1","Auto"
"nvoTCool Aktuelle Ku¨hlkreistemperatur","0/3/33","","","","DPST-9-1","Auto"
"nvoTCoolSP geforderte Ku¨hlkreistemperatur","0/3/34","","","","DPST-9-1","Auto"
